game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,20-010,POR,,DEN,L (-8),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,20-012,POR,@,SAC,W (+10),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,20-014,POR,@,DAL,W (+2),,,,,,,,,,,,,,,,,,,,,,
,2019-10-28,20-015,POR,@,SAS,L (-3),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,20-017,POR,@,OKC,W (+3),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,20-020,POR,,PHI,L (-1),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,20-022,POR,@,GSW,L (-9),,,,,,,,,,,,,,,,,,,,,,
,2019-11-07,20-025,POR,@,LAC,L (-6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-08,20-026,POR,,BRK,L (-4),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-10,20-028,POR,,ATL,W (+11),0,0:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
