game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-24,30-059,HOU,,MIL,L (-6),1,36:26,2,13,.154,1,8,.125,14,14,1.000,2,5,7,14,1,1,7,5,19,16.1,-3
2,2019-10-26,30-061,HOU,,NOP,W (+3),1,36:05,8,29,.276,2,18,.111,11,12,.917,0,4,4,5,1,0,8,3,29,8.0,+7
3,2019-10-28,30-063,HOU,,OKC,W (+4),1,36:52,8,21,.381,3,14,.214,21,22,.955,0,3,3,7,1,1,4,5,40,29.6,-3
4,2019-10-30,30-065,HOU,@,WAS,W (+1),1,37:30,18,32,.563,6,14,.429,17,18,.944,1,2,3,9,1,0,4,3,59,46.8,+6
5,2019-11-01,30-067,HOU,@,BRK,L (-7),1,36:39,10,31,.323,2,16,.125,14,15,.933,2,3,5,8,0,0,5,3,36,19.6,-14
6,2019-11-03,30-069,HOU,@,MIA,L (-29),1,26:26,6,14,.429,3,9,.333,14,14,1.000,1,3,4,3,1,0,6,4,29,18.7,-17
7,2019-11-04,30-070,HOU,@,MEM,W (+7),1,37:15,12,28,.429,7,16,.438,13,18,.722,4,6,10,6,2,1,7,2,44,30.9,+11
8,2019-11-06,30-072,HOU,,GSW,W (+17),1,35:18,10,23,.435,6,16,.375,10,13,.769,0,4,4,13,3,3,5,1,36,32.7,+20
9,2019-11-09,30-075,HOU,@,CHI,W (+23),1,35:48,12,27,.444,9,19,.474,9,11,.818,1,9,10,9,2,0,6,1,42,32.4,+36
10,2019-11-11,30-077,HOU,@,NOP,W (+6),1,38:16,13,25,.520,3,11,.273,10,14,.714,0,4,4,9,2,1,6,4,39,27.7,-4
